iter	Logloss
0	0.3979834118
1	0.223244164
2	0.1270871091
3	0.07466581556
4	0.04721938679
5	0.0264246138
6	0.0176099583
7	0.01118651211
8	0.007094452089
9	0.004861862505
10	0.003600201874
11	0.002781103759
12	0.002082836379
13	0.001542227002
14	0.001199484929
15	0.001010791579
16	0.0008412566183
17	0.0007580994519
18	0.0006864163692
19	0.0005846526714
20	0.0004940217587
21	0.0004295980419
22	0.0003988702447
23	0.000353329822
24	0.0003167817095
25	0.0002944514415
26	0.0002760676974
27	0.0002595037197
28	0.0002408595231
29	0.0002283816161
30	0.0002147460937
31	0.0002024395346
32	0.0001879188489
33	0.0001879111762
34	0.0001878967261
35	0.0001878814096
36	0.0001878588039
37	0.0001751907633
38	0.0001751907633
39	0.0001751907633
40	0.0001751506609
41	0.0001751506609
42	0.0001751470248
43	0.0001751440287
44	0.0001601467183
45	0.0001601467183
46	0.0001601467183
47	0.0001601467183
48	0.0001601467183
49	0.0001601442373
50	0.0001600331459
51	0.0001600221248
52	0.0001600194404
53	0.0001600147987
54	0.0001600121393
55	0.0001600027913
56	0.0001600027913
57	0.0001471795059
58	0.0001471750716
59	0.0001471706212
60	0.0001471643876
61	0.0001471633207
62	0.0001471448085
63	0.0001471399379
64	0.0001471366528
65	0.0001471366528
66	0.0001471328932
67	0.0001471304943
68	0.0001471260626
69	0.0001471237466
70	0.0001471096009
71	0.0001471077141
72	0.0001470984525
73	0.0001470908041
74	0.0001470889304
75	0.0001470819505
76	0.0001470729262
77	0.0001470636217
78	0.0001470636217
79	0.0001470636217
80	0.0001470545998
81	0.0001470513006
82	0.0001470428681
83	0.0001470428681
84	0.0001470343264
85	0.0001470268929
86	0.0001470268929
87	0.0001470268929
88	0.0001470252703
89	0.0001470163448
90	0.0001470070956
91	0.0001470070956
92	0.0001470056717
93	0.0001470056717
94	0.0001470021386
95	0.0001469934656
96	0.0001469912418
97	0.0001469901272
98	0.0001469861264
99	0.0001469861264
100	0.0001469726843
101	0.0001469726843
102	0.0001469680626
103	0.0001469680626
104	0.0001469650935
105	0.0001469579256
106	0.0001469579256
107	0.0001469491824
108	0.0001469406612
109	0.000146937406
110	0.0001469321384
111	0.0001469321384
112	0.000146929484
113	0.000146929484
114	0.000146929484
115	0.0001469044093
116	0.000146895673
117	0.000146892263
118	0.0001468881737
119	0.0001468881737
120	0.0001468846
121	0.0001468816647
122	0.0001468767067
123	0.0001468674763
124	0.0001468395171
125	0.0001468395171
126	0.0001468351115
127	0.0001468351115
128	0.0001468351115
129	0.0001468261194
130	0.0001468146762
131	0.0001468115454
132	0.0001468088251
133	0.0001468075801
134	0.0001468075801
135	0.0001467941885
136	0.0001467886784
137	0.0001467836083
138	0.000146771621
139	0.0001467599456
140	0.0001467494179
141	0.0001467305075
142	0.000146720668
143	0.0001467148872
144	0.0001467105992
145	0.0001467056492
146	0.0001467056492
147	0.0001466998866
148	0.0001466907746
149	0.0001466862919
150	0.0001466765244
151	0.0001466736569
152	0.0001466639248
153	0.0001466537865
154	0.0001466490495
155	0.000146640411
156	0.0001466359319
157	0.0001466301749
158	0.0001466254521
159	0.0001466210075
160	0.0001466165297
161	0.0001466066882
162	0.0001466019861
163	0.0001465970927
164	0.0001465923724
165	0.0001465829707
166	0.0001465781069
167	0.0001465769207
168	0.0001465671704
169	0.0001465614829
170	0.000146560267
171	0.0001465547727
172	0.0001465535654
173	0.000146543514
174	0.0001465423
175	0.0001465363274
176	0.0001465314673
177	0.0001465257805
178	0.0001465197942
179	0.0001465147711
180	0.0001465092729
181	0.0001465044028
182	0.0001464995629
183	0.0001464983517
184	0.0001464934825
185	0.0001464886102
186	0.0001464831217
187	0.0001464819038
188	0.0001464762213
189	0.0001464713538
190	0.0001464658695
191	0.0001464610028
192	0.000146455322
193	0.0001464541046
194	0.0001464481457
195	0.0001464421874
196	0.0001464373522
197	0.0001464324841
198	0.0001464312671
199	0.0001464312671
200	0.0001464253046
201	0.0001464193275
202	0.0001464144642
203	0.0001464085033
204	0.0001464025277
205	0.000146396568
206	0.0001463906088
207	0.0001463857476
208	0.0001463797951
209	0.0001463785874
210	0.0001463726299
211	0.0001463726299
212	0.0001463677701
213	0.0001463617984
214	0.000146360591
215	0.0001463593788
216	0.0001463545201
217	0.0001463485704
218	0.0001463426157
219	0.0001463377582
220	0.0001463377582
221	0.00014633655
222	0.0001463305963
223	0.0001463293847
224	0.000146328178
225	0.0001463222251
226	0.0001463173692
227	0.0001463161544
